,KIN_ACC_ID
13671,Q13043
13712,Q8TF76
13713,Q9BUB5
13723,Q8IXL6
13733,P51451
13739,O60885
13740,Q15746
13745,P51955
13782,Q05513
13878,Q92519
13879,Q8IVH8
13886,Q9UQ88-10
13887,P51817
13889,Q16659
13893,Q13555
13900,Q96KB5
13909,Q96RG2
13914,Q8TD19
13920,Q96Q40
13921,P50053
13922,Q8IV63
13923,Q14004
13926,Q96PY6
13937,Q6NYC1
13938,Q8IZL9
13940,Q9Y6M4
13943,P30530
13958,P21802
13964,Q8TDC3-2
13971,Q96S44
13972,Q9UM73
13985,Q9Y4K4
13986,Q9UEE5
13987,Q8TD08
13999,Q6IQ55
14007,Q9NWZ3
14040,Q9BRS2
14041,Q9UKE5
14045,Q5TCY1
14052,Q9NYL2
14057,Q9Y6R4
14059,O60285
