,IDB
7012,P17655
7043,P46934-4
7054,P00390
7058,Q15025
7063,Q14761
7084,Q13557
7095,Q9Y4D2
7107,P49918
7120,P42261
7130,P12956
7147,Q9NWT8
7157,Q13765
7163,Q9BW19
7165,P24534
7177,Q9HC98
7188,P67775
7200,P20138
7217,P36894
7228,P53367
7229,P52926
7244,Q96EV8
7250,Q9NR80
7251,P29323
7294,P21399
7295,P53778
7325,Q00975
7377,Q01518
7398,Q9H3M7
7404,Q16666
7408,Q13283
7421,Q8TCS8
7427,Q96RD6
7438,Q86VP1
7440,Q15417
7443,Q6ZMG9
7450,Q9UKF7
7452,Q6P996
7456,P16591
7463,Q69YH5
7468,Q13118
7469,Q969U6
7475,Q96BD8
7481,Q02763
7487,Q14721
7506,P30279
7516,Q8NHZ8
7522,P23771
7526,Q9H6R7
7529,P15509
7552,Q99717
7577,Q96T49
7589,Q8NET8
7604,Q712K3
7622,O75674
7650,P13688
7653,Q9Y2R2
7659,P83916
7660,Q9UNA1
7661,Q8NEB9
7699,Q96T23
7701,Q9H4G4
7704,P17677
7714,P05387
7722,Q9NR20
7726,P46821
7732,Q14765
7733,Q9UK80
7764,Q8WYQ5
7765,Q9BY11
7805,P54259
7807,Q9P0J1
7810,Q9Y210
7817,Q9HCX4
7820,P26678
7828,Q99062
7844,Q9H8S9
7847,Q9BPZ7
7855,P30530
7890,P53804
7919,O15126
7922,Q9NQX3
7933,Q86UE8
7945,Q9Y5P4
7946,Q8WXD9
7963,Q9Y463
7966,P01589
8028,Q9UI08
8032,P05091
8043,Q9BYG3
8049,Q504Q3
8051,Q9NRA8
8058,P51809
8105,Q96G01
8109,P41597
8114,Q13255
8118,P21453
8129,Q9BUZ4
8151,Q9BXM7
8184,Q9UKV3
8186,P61020
8204,Q8TAQ5
8217,Q9UKT5
8226,O43148
8241,P30050
8272,Q96MU7
8276,Q9NR28
8277,P54578
8278,P12532
8282,P01112
8314,Q96CN5
8321,Q96HE7
8344,O00327
8356,O14980
8369,Q92819
8381,P57737
8389,Q13114
8398,Q4VCS5
8403,Q9UKV5
8410,Q99814
8420,Q16816
8438,Q5VTR2
8445,Q99259
8454,Q9UM54
8477,P27635
8484,O00165
8494,O00329
8504,O14929
8540,P29972
8552,Q6UUV7
8559,Q12948
8575,O60602
8587,Q9H1A4
8590,Q9NZA1
8614,Q6ZWJ1
8654,P15884
8657,P46459
8679,P15090
8690,Q07343
8693,Q9H2X9
8732,P31939
8735,Q8IXI2
8740,Q4G0J3
8741,Q9Y2X7
8742,Q15121
8747,P11908
8768,Q8NE86
8769,P14866
8770,Q96E09
8776,Q9H2B2
8783,Q9C0C2
8801,Q7L591
8814,Q9HCU5
8832,Q14566
8836,Q15365
8837,Q92692
8839,Q14807
8841,Q99497
8843,P78356
8845,P20273
8846,Q53GL7
8848,Q9Y6E0
8882,Q96KR7
8886,P30048
8887,P12821
8888,O14976
8891,P43146
8899,Q16760
8919,Q8IWQ3
8924,P08473
8989,P20042
8991,Q13625
8993,P09601
9003,P33241
9007,O60664
9022,P07766
9027,Q9NZM5
9031,Q01534
9052,Q92519
9061,O43663
9073,Q9BY77
9075,P04234
9079,P33527
9090,P52789
9106,Q14738
9115,O94763
9125,P42566
9132,CHEBI:15721
9143,P35354
9152,P56192
9153,P05129
9170,Q13459
9196,Q9BU19
9207,Q96CW1
9212,Q9UBP6
9221,P32942
9226,Q9NP31
9228,P10398
9238,P10412
9241,Q9ULH0
9258,Q8TEP8
9282,P38646
9286,P30041
9301,O43736
9308,O95817
9316,Q6STE5
9317,Q9BZQ8
9328,O75475
9333,Q96AQ6
9335,Q96GD4
9376,Q92837
9378,O75154
9397,P42574
9402,Q99538
9434,Q16543
9440,Q14654
9455,P30281
9460,P48050
9470,O00238
9475,P24666
9517,Q9HC62
9524,Q5FWF5
9533,P31994
9556,Q96N67
9567,Q08J23
9592,Q96P20
9593,O60282
9606,O60563
9610,Q05516
9616,Q9Y3C5
9617,P00736
9640,Q96C90
9675,O95983
9677,P43003
9695,Q9NPC1
9697,Q9NP62
9708,Q9HCJ2
9709,P08908
9711,Q76N32
9722,Q8WYK2
9742,Q9Y295
9802,Q9Y6R4
9819,O60885
9823,Q8WUM4
9827,P55265
9832,Q9UK32
9834,P61925
9849,P20963
9865,Q16644
9872,O94989
9886,O14613
9919,O95721
9928,Q96Q89
9939,Q92698
9954,Q15019
9964,Q9HB75
9980,P48431
9988,Q15349
10026,P43694
10027,Q8IWA4
10029,O00139
10080,Q14571
10104,Q9UGP5
10115,Q9UIK4
10123,O76070
10134,Q9H0Z9
10139,Q9H3R0
10156,O60829
10158,Q9Y2K6
10180,P41162
10183,Q8N6T3
10186,P09693
10191,P49716
10205,Q96D96
10217,P16662
10219,O15287
10241,Q13418
10247,O43734
10250,Q15599
10252,Q9NRR5
10259,O15146
10282,Q92882
10289,Q15648
10297,O75628
10330,Q5VSY0
10343,Q2M2I8
10356,Q13362-3
10359,Q9H0B6
10365,Q9Y5X1
10396,Q9BSQ5
10398,Q96F24
10401,Q01995
10408,P30626
10419,Q9NQC3
10426,Q9H211
10431,Q14493
10438,P19021
10443,P80192
10453,O43542
10459,Q15334
10462,Q92879
10478,Q96NY9
10495,O15269
10501,Q969R5
10513,Q16206
10521,P25685
10551,Q8N0Z6
10555,Q9HC35
10564,P0DMV8
10585,P30519
10639,P21796
10648,P14543
10673,Q9NR19
10702,Q13107
10744,O76090
10758,P33993
10779,O43768
10798,Q9NTG7
10800,Q7L804
10814,Q16821
10820,O60928
10859,Q16526
10944,P32929
10951,P18850
10953,P10588
10958,Q12809
10966,Q7L7L0
10981,P15559
10994,P17612
11007,Q92542
11014,P13693
11130,Q96HP0
11135,P48200
11142,Q92529
11162,Q9UBF6
11164,Q9UKT6
11167,P68366
11169,O75822
11172,Q93009
11207,Q9UQ84
11208,Q15256
11218,Q9HAU4
11237,O14490
11275,O43684
11282,Q13362-1
11289,P01111
11312,P52943
11319,Q9NZC9
11322,O95425
11352,P55212
11358,P55316
11387,Q9GZT9
11392,O60318
11402,Q02363
11409,P19544
11414,Q9BWT1
11417,P31943
11428,Q16576
11491,Q13002
11494,Q14203
11503,Q9UEY8
11524,Q96HZ4
11558,Q8TAE6
11581,P16333
11585,Q5JXC2
11601,Q86TI0
11612,Q7L5N7
11625,P52292
11646,Q99541
11662,Q03164
11691,Q05086
11715,Q04912
11723,P50502
11724,P47736
11732,P43351
11739,Q9UKA4
11758,Q15116
11769,Q16621
11792,Q8IWR1
11818,Q96KG9
11825,Q9Y490
11829,Q9NRY6
11866,Q9UKI8
11876,Q14289
11880,P31152
11915,P01236
11918,Q9ULV8
11930,Q5JZY3
11935,P50281
11937,P61587
11953,O43559
11975,Q52LA3
11981,Q9BWW4
11989,Q15437
11996,Q9NYZ3
12009,Q9Y2T1
12015,Q9NS28
12022,Q15303
12028,P98161
12067,Q8N2W9
12071,Q8WTQ7
12101,P41002
12104,P07951
12118,Q6WCQ1
12123,P43119
12143,Q96CV9
12150,Q9HB09
12156,O95382
12164,O15067
12190,P50406
12191,O60869
12204,Q6P1N0
12233,Q8IX90
12242,Q9NRC8
12261,Q13761
12272,Q96TA1
12278,Q96SB3
12283,P11171
12290,Q9NS91
12302,P49789
12319,Q9BUR4
12327,P52952
12341,P62820
12349,O75969
12350,P41134
12356,O00631
12363,P21817
12377,Q12904
12434,Q04637
12459,P09651
12460,Q01628
12471,O60500
12473,Q14511
12512,Q92995
12543,Q9Y4H4
12547,Q92585
12583,P35221
12586,Q15833
12594,Q9UM73
12611,Q9Y3Q4
12634,Q8NEM2
12651,O43395
12653,Q96CX2
12660,O43156
12694,Q9GZV9
12703,P05549
12711,Q15700
12731,Q96G74
12748,P07737
12749,O95202
12750,P26045
12759,Q96SN8
12765,Q8TDY2
12775,Q9UH03
12798,P15374
12822,P23634-6
12841,Q9UP95
12859,O95319
12864,Q13243
12871,Q5SQI0
12876,Q14157
12894,Q9NRF8
12896,Q12851
12898,Q13263
12910,O75962
12923,P51787
12936,Q01831
146,Q8IY63
482,P42568
490,O95278
1266,P23921
1447,Q15329
2269,Q0VD86
2359,Q8TBX8
2554,P17858
2716,Q9H2G4
2844,Q9UQK1
4097,Q8N2F6
4479,P48764
4630,Q9H4X1
5671,Q9UPY5
5737,Q9BQL6
6022,Q8TAP6
6093,Q6TCH7
6696,Q03111
7215,Q7Z2Z1
7949,Q8N3Y1
8860,P54840
8896,P51816
10351,Q01813
10417,Q9NP87
10926,Q9H7L9
11267,P42898
11475,Q15652
11486,Q00536
3231,P46109
11052,P32927
60,Q07002
454,Q9HBH7
595,Q8N9N5
754,Q9Y3R0
756,Q7Z5H3
780,Q14160
884,P14410
907,Q969F2
1043,Q9UL62
1203,O75151
1285,Q9H4X1-2
1553,Q9BTL3
2080,Q9UH77
2143,P49366
2149,P17861
2167,Q9Y223
2395,O60610
2964,Q9HCR9
3041,Q5T2W1
3268,P55064
3313,Q96F86
3609,Q6S5L8
3655,Q676U5-2
3704,O15217
3870,P52179
4128,P56693
4133,O75688
4192,Q676U5-1
4663,Q92777
4723,Q9Y259
5897,P41219
6005,P63252
6075,Q09470
6263,O60658
6454,O76054
6555,Q7Z418
6714,Q8NCD3
6923,P00540
7264,Q16637
7789,Q6J4K2
8323,Q13576
8489,Q9NPC2
8596,O94806
8808,Q5T447
9099,Q05329
9307,P22459
9411,Q9P0N9
9771,Q68EM7
10002,Q9H4B6
11624,Q02641
12359,O00482
12443,Q14957
12684,P47870
12828,Q14749
