,IDB
808,Q13976
816,P68400
817,Q03393
821,Q8NHY2
823,Q9Y5B0
824,Q13428
826,P05106
828,O75449
836,Q14814
837,P52564
839,Q08999
840,P46019
841,P17302
842,Q6PKG0
845,P60484
846,Q13309
847,P06241
849,P11912
853,P12272
854,P56270
859,Q9H2X6
860,Q15750
861,P50402
863,Q8IZP0
864,Q86X55
865,Q14106
869,P14923
878,P52757
880,P27986
885,Q9UIG0
886,Q9NQB0
888,P45983
890,Q13144
891,P14921
892,P60880
894,O14757
899,P07195
901,P14136
905,Q99558
906,P11362
908,Q5BJF6
909,P56181
910,O43432
911,P49916
917,Q9Y3E5
921,P15391
922,Q92558
923,P02810
926,Q14164
927,Q13485
930,P51003
935,Q8IVT5
941,P49674
943,Q12929
946,Q04206
953,P28562
954,Q01860
955,P50552
956,Q5JR12
960,Q09666
961,Q16512
963,Q00839
965,Q92686
966,P10276
967,Q9UPY6
969,P31946
971,Q9UBB4
975,P43629
983,P49768
984,Q8IYJ3
986,P60981
991,P10636-2
996,O15524
1001,Q9UBN7
1003,P18848
1006,P61978
1007,O95786
1009,P53671
1010,Q9BVS4
1015,Q13045
1018,P61073
1022,E9PAV3
1025,P27448
1030,P19525
1031,Q9H8V3
1033,Q96J92
1038,Q14934
1041,P17661
1044,P02545
1046,Q9H063
1048,P51956
1051,P61586
1052,P48067-2
1054,Q9NQS7
1057,Q6R327
1058,Q12834
1063,Q96RU2
1069,P46937
1070,O96004
1073,O60341
1078,Q8IVM0
1082,P17812
1086,P04183
1087,P29322
1088,P10244
1095,Q8WUI4
1098,Q07820
1100,Q9H8Y8
1101,P49792
1102,Q5JVS0
1103,P0DP24
1105,Q6JBY9
1106,Q14449
1107,Q00613
1109,P26651
1111,P30305
1114,P53004
1116,Q9Y4R8
1122,Q92529-2
1126,Q15398
1132,O95163
1137,Q96P48
1138,Q15942
1140,P62753
1146,Q9ULW0
1147,P45985
1148,O00418
1153,O14519
1154,Q01892
1158,Q8TB45
1159,P18754
1160,P07900
1162,O14939
1163,P49917
1164,P35869
1168,P36897
1170,Q93045
1172,P31749
1174,Q9Y2I6
1175,P55957
1176,O75914
1178,Q9UN36
1179,C9JLW8
1180,Q99704
1183,Q8WYL5
1186,O95271
1188,P38484
1191,P01100
1194,P42684
1196,Q16566
1201,Q92688
1205,Q13009
1209,P16104
1210,Q96QB1
1213,P68431
1216,P11274
1220,Q9BSI4
1222,P16144
1224,P22392
1226,P09211
1227,O14733
1232,O95816
1235,O15055
1237,Q92597
1242,Q9H9Q4
1247,P10275
1248,P08581
1251,P10721
1255,Q13546
1256,P31431
1257,Q05940
1261,P52732
1265,Q9BQG0
1267,Q9UQD0
1268,P54764
1269,P06396
1274,P28698
1276,P33778
1277,Q9C0C7
1279,P46060
1283,Q9Y2N7
1286,O00429
1288,P53805
1292,P48730
1296,O43303
1298,Q8TDQ1
1301,P48436
1303,A6ND36
1304,Q9UQQ2
1306,P12830
1308,Q13621
1309,Q13651
1311,Q9NQ66
1312,P31350
1318,O43516
1323,Q9HC77
1325,O43683
1329,P57059
1330,Q16665
1331,Q13409
1332,P46937-3
1333,P21462
1334,Q92844
1335,Q9Y237
1337,P35503
1340,Q9Y6A5
1341,O43602
1342,O75582
1347,P11137
1349,P98082
1350,Q16584
1352,P18031
1354,Q05195
1355,Q07912
1358,P32245
1359,Q04724
1361,Q09472
1362,Q92598
1363,O75143
1368,Q14103
1369,P51692
1370,P16284
1374,Q6Y7W6
1375,O60266
1376,Q9UQ80
1380,P04439
1382,Q9Y4C1
1384,P13726
1385,P36896
1392,P48736
1396,P23327
1398,A2RUS2
1404,P56962
1412,P08235
1414,P05783
1417,Q9P1Z0
1420,P31995
1422,Q9H4A6
1423,Q16695
1427,Q92905
1429,O14641
1438,P08034
1446,Q9BXA7
1450,P21731-2
1453,P23511
1456,P23246
1461,O15360
1470,P53350
1471,P59047
1472,Q9Y3Z3
1475,O75874
1476,Q96Q27
1478,P19174
1479,Q7KZI7
1483,O95251
1484,Q8WXE1
1490,Q03135
1491,Q13568
1494,P35900
1497,Q13671
1501,Q15075
1502,P55011
1512,P17947
1513,P22314
1517,Q00535
1524,Q969R2
1525,O75531
1526,Q9NS23
1527,O94901
1528,P23743
1536,Q13698
1537,P41220
1538,Q14191
1540,Q9UHB6
1541,Q9BXF6
1550,Q9Y2Y9
1552,P32121
1555,Q13133
1556,Q01726
1560,Q96SB4
1561,P49959
1569,P51452
1581,Q9Y446
1582,Q8N884
1585,Q13507-3
1588,O14744
1593,Q9H4E7
1594,Q7LG56
1599,Q9Y266
1601,Q9NQU5
1602,Q9Y6H5
1603,O60711
1611,P62826
1613,Q99801
1619,P49795
1623,P05114
1626,Q70E73
1632,Q92918
1633,Q9H204
1636,Q9UHD2
1645,P17600
1646,Q14432
1649,O00562
1652,Q96R06
1653,Q15438
1654,Q86T82
1655,P29803
1656,Q969V6
1657,Q14680
1661,O75689
1664,Q13371
1677,P29692
1679,Q9UQR1
1681,O43312
1686,Q9NVD7
1693,P54132
1697,Q13224
1698,P56524
1699,Q16828
1701,Q16143
1702,P41594
1703,Q92556
1708,P48048
1712,Q13164
1714,O60566
1715,P06127
1719,P05787
1727,Q13261
1728,Q15418
1732,P51608
1734,O60934
1743,P37840
1746,O94925
1747,P55042
1750,Q99990
1753,Q9Y572
1754,O14777
1755,Q92786
1756,P53801
1758,Q13042
1761,P24385
1768,P10242
1772,Q8N163
1775,Q8NFH8
1777,P49815
1782,Q13422
1788,P16070
1792,P11234
1795,Q8IV63
1797,P24941
1802,Q05469
1805,Q9BSJ6
1807,P13569
1808,Q96PM5
1814,O95239
1816,P46734
1817,Q8IWU2
1818,Q13535
1820,Q7L9L4
1822,P17535
1824,P61026
1826,P53779
1828,Q99640
1829,P63244
