,uniprot
9656,Q9BYB0-1
9663,P16949
10162,P30291
10165,P30305
10166,P30307
10239,P51587
10404,P33991
10414,O14744-1
10419,Q8TDC3
10421,Q8IWQ3
10423,P57059
10424,Q9NRH2
10427,Q9P0L2
10429,P54646
10438,Q14680
10439,P27448
10440,Q13131
10441,Q7RTN6
10456,Q96L34
10458,Q9H093
10459,Q9H0K1
10463,Q9Y2K2
10465,Q96EB6-1
10525,Q53ET0
10526,Q9NQT8
10534,Q7L804
10593,Q6RSS1
10612,Q8IY84
10616,P55212
10618,O95835
10639,Q8N6W3
10702,Q5VT18
10722,Q14457
10723,P37840-1
10729,Q96IK2
10731,Q16623
10744,Q13526
10747,Q96RR4
10762,Q9UIK4
10768,O14950
10781,P68431
10799,P40429
10838,Q01860-1
10848,Q13151
10849,P04792
10853,O15511
10879,P07101
10889,Q9UC36
10899,P26651
10900,O95453
10902,Q07352
10906,P35900
10910,P09917
10918,Q8N5C8
10919,P33241
10921,Q9UKV8
10940,Q2M3B4
10953,P63104
10956,Q6JBY9
10958,O95816
11034,P09651
11045,O15273
11212,P30304
11274,Q9GZX1
11307,Q13671
11319,Q14247
11333,Q8WUI4
11353,O60602
11398,Q9BZL6
11412,Q96K01
11534,Q9BZY2
11537,Q08050
11538,Q15554
12152,Q92997
12166,Q99986
12168,O75531
12191,O14920-1
12321,P24941
12323,Q08050-2
12324,Q06830
12331,P46060
12338,Q9UJX2
12340,P68400
12344,P30260
12346,Q9GZM8
12355,P06748
12364,Q92574
12365,Q15398
12376,Q07820
12386,P17096-2
12387,F8W7Z5
12390,Q9H8V3
12394,Q15233
12404,Q07666
12411,Q8WTW5
12417,Q86X82
12420,P06400
12432,P17096
12443,O00571
12450,O43683
12458,O43663
12463,Q13415
12464,Q12802
12465,Q9H1A4
12472,Q8TAP9
12491,Q96KB5
12497,Q06481
12516,Q14807
12518,Q8NHV4
12528,Q15149
12547,P23396
12556,O15392
12561,P52732
12567,P62136
12574,Q9H4X1
12583,Q15291
12604,Q5VXN8
12607,O00562
12608,Q9P2W8
12625,Q14493
12627,P55211
12631,P12272
12638,P49418
12645,P39748
12668,O00443
12676,Q03060-11
12685,Q9H467
12686,P61020
12695,Q08379
12725,P47736
12766,P36956
12773,Q96T22
12785,Q53EZ4
12803,P39880
12812,P15172
12818,P27816
12844,Q9HAH2
12852,O15287
12866,Q9UNZ2
12875,P67870
12876,P04183
12884,O95997
12886,P17706-2
12897,O14994
12961,P22314
12985,P50613
12987,Q14739
13004,O43521-2
13015,Q13950
13029,Q92993
13033,P49459
13034,P52926
13042,Q6P1N0
13078,Q9ULC4
13080,Q07817
13081,Q8IZP0
13084,Q9Y5J2
13100,P31350
13122,Q14674
13125,Q8IXJ6
13130,O60331
13133,Q9Y6I3
13153,P20338
13162,P14635
13182,P67775-1
13188,Q7Z628-1
13236,Q01105-1
13237,P46531
13453,O75533
13454,P10244
13463,P84022
13467,Q14207
13473,Q9GKR4
13474,Q08999
13507,P54198
13547,P28749
13598,P33981
13619,P24864
13667,P23511-1
13703,P06401
13719,Q9HCH8
13740,P38432
13753,Q15788
13759,P15923
13776,Q99741
13781,Q02363
13792,P17480
13852,Q7Z2Z1
13856,P01106
13864,Q02535
13883,Q8IXJ6-2
13889,P20248
13964,P30050
13987,Q8TDN4
13989,P18846
14149,Q14247-1
14175,Q15833
14185,Q9BT38
14195,Q9Y371
14219,Q15078
14232,O94811
14252,Q969H0-1
14254,O43151-1
14256,Q15853-1
14347,P35222
14356,P12931
14395,P42858
14434,Q9UDC6
14479,Q02078
14481,P49023
14510,Q86X73
14523,O14827
14559,Q9UPZ9
14560,P06493
14562,Q9NZS5
14577,P11802
14590,Q14847
14591,P14859
14596,P29474
14630,Q13285
14640,O00303
14657,P51946
14675,O00267
14702,P24928
14708,P10275
15344,P25963
15350,P04004
15385,O95477
15415,P32121
15429,P45984
15436,Q9UBF6
15451,O95786
15547,P00374-1
15551,Q9HCF6-1
15566,P11274
15573,P11717
15580,Q15185
15588,P35638
15603,Q96SB4
15621,P08575
15628,Q13563
15633,P08238
15639,P15884
15642,Q13323
15684,P40337
15702,O00170
15704,P04198
15711,Q712K3
15719,Q9UMD9
15731,P00736
15770,Q9UNN5
15778,P19447
15784,Q04724
15817,P49810
15819,P49427
15827,P10242
15867,P05455
15871,P55010
15877,Q16666
15883,Q08945
15887,Q16543
15905,Q15287
15936,P61244
15939,Q92769
15950,Q13547
16002,P12259
16007,P48426
16069,O00327
16072,Q9Y618
16092,P10646
16102,P04818
16115,P35221
16117,P42768
16157,O76061
16280,P08621-1
16318,Q92995-1
16332,Q96EB6
16337,O43597
16357,Q13627
16373,Q05193
