,0
246,EIF3D_HUMAN
247,EIF3E_HUMAN
248,EIF3K_HUMAN
249,EIF3L_HUMAN
250,ELOA1_HUMAN
251,ELOC_HUMAN
252,EMAL4_HUMAN
253,ENAH_HUMAN
254,ENOA_HUMAN
255,ENOB_HUMAN
256,ENOG_HUMAN
257,ENPLL_HUMAN
258,ENPL_HUMAN
259,EPN1_HUMAN
260,ERP44_HUMAN
261,ESYT1_HUMAN
262,EXOS4_HUMAN
263,EXOS7_HUMAN
264,EZRI_HUMAN
265,F10A1_HUMAN
266,F10A4_HUMAN
267,F10A5_HUMAN
268,F195B_HUMAN
269,FA49B_HUMAN
270,FA96A_HUMAN
271,FADS1_HUMAN
272,FAK1_HUMAN
273,FAS_HUMAN
274,FBLN3_HUMAN
275,FERM2_HUMAN
276,FGL1_HUMAN
277,FHL1_HUMAN
278,FHL2_HUMAN
279,FIGL1_HUMAN
280,FIP1_HUMAN
281,FKB10_HUMAN
282,FKB1A_HUMAN
283,FKBP2_HUMAN
284,FKBP4_HUMAN
285,FKBP7_HUMAN
286,FLNA_HUMAN
287,FLNB_HUMAN
288,FOLR1_HUMAN
289,FPPS_HUMAN
290,FUBP1_HUMAN
291,FXR2_HUMAN
292,FYCO1_HUMAN
293,G3BP1_HUMAN
294,G3P_HUMAN
295,G6PD_HUMAN
296,GANAB_HUMAN
297,GAR1_HUMAN
298,GBB2_HUMAN
299,GBB4_HUMAN
300,GBF1_HUMAN
301,GBRL1_HUMAN
302,GCP60_HUMAN
303,GCSH_HUMAN
304,GDIB_HUMAN
305,GDIR1_HUMAN
306,GGCT_HUMAN
307,GILT_HUMAN
308,GLGB_HUMAN
309,GLRX5_HUMAN
310,GLU2B_HUMAN
311,GLYC_HUMAN
312,GLYR1_HUMAN
313,GNL1_HUMAN
314,GOGA4_HUMAN
315,GRHPR_HUMAN
316,GRP75_HUMAN
317,GRP78_HUMAN
318,GSHB_HUMAN
319,GSHR_HUMAN
320,GSTP1_HUMAN
321,GUAD_HUMAN
322,H11_HUMAN
323,H12_HUMAN
324,H13_HUMAN
325,H14_HUMAN
326,H1T_HUMAN
327,H1X_HUMAN
328,H2B1B_HUMAN
329,H2B1C_HUMAN
330,H2B1D_HUMAN
331,H2B1H_HUMAN
332,H2B1J_HUMAN
333,H2B1K_HUMAN
334,H2B1L_HUMAN
335,H2B1M_HUMAN
336,H2B1N_HUMAN
337,H2B1O_HUMAN
338,H2B2C_HUMAN
339,H2B2D_HUMAN
340,H2B2E_HUMAN
341,H2B2F_HUMAN
342,H2B3B_HUMAN
343,H2BFS_HUMAN
344,H90B2_HUMAN
345,H90B3_HUMAN
346,H90B4_HUMAN
347,HAP28_HUMAN
348,HAT1_HUMAN
349,HDAC1_HUMAN
350,HDAC2_HUMAN
351,HDGF_HUMAN
352,HECD1_HUMAN
353,HEXB_HUMAN
354,HGS_HUMAN
355,HINT3_HUMAN
356,HMCS1_HUMAN
357,HNRDL_HUMAN
358,HNRH1_HUMAN
359,HNRH2_HUMAN
360,HNRL1_HUMAN
361,HNRPG_HUMAN
362,HNRPK_HUMAN
363,HNRPL_HUMAN
364,HNRPM_HUMAN
365,HNRPQ_HUMAN
366,HNRPR_HUMAN
367,HNRPU_HUMAN
368,HS105_HUMAN
369,HS71L_HUMAN
370,HS74L_HUMAN
371,HS902_HUMAN
372,HS905_HUMAN
373,HS90A_HUMAN
374,HS90B_HUMAN
375,HSF1_HUMAN
376,HSP71_HUMAN
377,HSP72_HUMAN
378,HSP74_HUMAN
379,HSP76_HUMAN
380,HSP77_HUMAN
381,HSP7C_HUMAN
382,HSPB1_HUMAN
383,HTAI2_HUMAN
384,HXK2_HUMAN
385,IDHC_HUMAN
386,IF1AX_HUMAN
387,IF1AY_HUMAN
388,IF2A_HUMAN
389,IF2BL_HUMAN
390,IF2B_HUMAN
391,IF2G_HUMAN
392,IF4A1_HUMAN
393,IF4A2_HUMAN
394,IF4A3_HUMAN
395,IF4B_HUMAN
396,IF4E_HUMAN
397,IF4H_HUMAN
398,IF5_HUMAN
399,IGBP1_HUMAN
400,ILEU_HUMAN
401,IMB1_HUMAN
402,IMDH2_HUMAN
403,IPO5_HUMAN
404,IPO9_HUMAN
405,IPP2M_HUMAN
406,IPP2_HUMAN
407,IPYR_HUMAN
408,IQGA1_HUMAN
409,K0664_HUMAN
410,K1967_HUMAN
411,K2C8_HUMAN
412,K6PP_HUMAN
413,KAD1_HUMAN
414,KCRB_HUMAN
415,KCY_HUMAN
416,KHDR1_HUMAN
417,KINH_HUMAN
418,KLC1_HUMAN
419,KLC2_HUMAN
420,KPYM_HUMAN
421,KRI1_HUMAN
422,KRR1_HUMAN
423,KS6A3_HUMAN
424,KYNU_HUMAN
425,L1CAM_HUMAN
426,LAMA5_HUMAN
427,LAMC1_HUMAN
428,LAP2A_HUMAN
429,LAP2B_HUMAN
430,LARP1_HUMAN
431,LARP4_HUMAN
432,LA_HUMAN
433,LCAP_HUMAN
434,LDHA_HUMAN
435,LDHB_HUMAN
436,LIN7A_HUMAN
437,LIN7B_HUMAN
438,LIN7C_HUMAN
439,LIS1_HUMAN
440,LPP_HUMAN
441,LRC47_HUMAN
442,LRRF1_HUMAN
443,LSM6_HUMAN
444,LYSM2_HUMAN
445,MAOX_HUMAN
446,MAP4_HUMAN
447,MATR3_HUMAN
448,MAZ_HUMAN
449,MBNL1_HUMAN
450,MBNL3_HUMAN
451,MCCB_HUMAN
452,MCFD2_HUMAN
453,MCM2_HUMAN
454,MCM3_HUMAN
455,MCM4_HUMAN
456,MCM6_HUMAN
457,MCM7_HUMAN
458,MDHC_HUMAN
459,MDHM_HUMAN
460,METK2_HUMAN
461,MIER1_HUMAN
462,MIMIT_HUMAN
463,ML12A_HUMAN
464,ML12B_HUMAN
465,MOSC1_HUMAN
466,MPZL1_HUMAN
467,MSS4_HUMAN
468,MTA2_HUMAN
469,MTA70_HUMAN
470,MTNB_HUMAN
471,MVP_HUMAN
472,MYG1_HUMAN
473,MYH9_HUMAN
474,MYL6B_HUMAN
475,MYL6_HUMAN
476,MYO1E_HUMAN
477,NAA10_HUMAN
478,NAA11_HUMAN
479,NAA15_HUMAN
480,NAA25_HUMAN
481,NACA_HUMAN
482,NAMPT_HUMAN
483,NASP_HUMAN
484,NAT6_HUMAN
485,NCBP2_HUMAN
486,NDK8_HUMAN
487,NDKB_HUMAN
488,NEK9_HUMAN
489,NELFE_HUMAN
490,NENF_HUMAN
491,NFKB2_HUMAN
492,NFU1_HUMAN
493,NHLC2_HUMAN
494,NIPS1_HUMAN
495,NJMU_HUMAN
496,NKRF_HUMAN
497,NMD3_HUMAN
498,NNMT_HUMAN
499,NOP2_HUMAN
500,NP1L1_HUMAN
501,NP1L4_HUMAN
502,NPM_HUMAN
503,NPTN_HUMAN
504,NRDC_HUMAN
505,NRP1_HUMAN
506,NSF1C_HUMAN
507,NSUN2_HUMAN
508,NTM1A_HUMAN
509,NUCB2_HUMAN
510,NUCKS_HUMAN
511,NUCL_HUMAN
512,NUDC2_HUMAN
513,NUDT5_HUMAN
514,NUP62_HUMAN
515,NUP98_HUMAN
516,OAT_HUMAN
517,ODPAT_HUMAN
518,ODPA_HUMAN
519,ODPB_HUMAN
520,OPA1_HUMAN
521,OTUB1_HUMAN
522,P4HA1_HUMAN
523,P5CR1_HUMAN
524,PABP1_HUMAN
525,PABP4_HUMAN
526,PACN2_HUMAN
527,PACN3_HUMAN
528,PAF1_HUMAN
529,PAIRB_HUMAN
530,PAP1L_HUMAN
531,PAPS2_HUMAN
532,PARK7_HUMAN
533,PARP1_HUMAN
534,PAXI_HUMAN
535,PCNA_HUMAN
536,PCSK9_HUMAN
537,PCTL_HUMAN
538,PCY1A_HUMAN
539,PCY1B_HUMAN
540,PDC6I_HUMAN
541,PDE12_HUMAN
542,PDIA1_HUMAN
543,PDIA3_HUMAN
544,PDIA4_HUMAN
545,PDIA5_HUMAN
546,PDLI1_HUMAN
547,PEBP1_HUMAN
548,PGAM1_HUMAN
