,Substrate
2512,Q6FI13
2514,Q7L7L0
2517,Q8IUE6
2521,Q92934
2524,Q93077
2526,Q96KK5
2528,Q96QV6
2530,Q99878
2537,O75676
2559,O75716
2568,O75914
2575,P19429
2577,Q9UM54
2581,O76039
2627,Q9HCJ2
2632,O94804
2635,P15311
2641,P35241
2647,O94806
2653,Q15139
2663,Q9Y2X7
2666,O75581
2669,P37802
2674,P41236
2677,Q8ND76
2686,O95382
2694,Q16539
2701,P55011
2715,P55017
2729,Q13621
2812,Q02241
2825,Q8NHZ8
2830,Q9NQS7
2833,O00401
2843,O96013
2874,P18084
2884,P49023
2887,P53667
2890,P62826
2903,Q93045
2916,O43255
2927,O60673
2930,O96017
2977,P16403
2988,P18887
2995,P21127
2998,P23560
3001,P29590
3018,P33981
3032,P61289
3039,Q08050
3071,Q9NY61
3079,Q9UHR4
3095,O15162
3104,O43586
3124,P00519
3146,P05412
3151,P07203
3171,P15391
3196,P22681
3204,P29350
3219,P42684
3224,P43351
3229,P46108
3255,P55211
3277,Q06187
3296,Q13671
3324,Q15746
3352,Q70E73
3408,Q99638
3422,Q9NRQ2
3454,Q9Y6W5
3458,O00767
3465,O14828
3468,O14939
3473,O14964
3476,O15126
3479,O15455
3482,O15492
3488,O60716
3491,O75886
3494,O95477
3518,P04083
3522,P04626
3524,P07948
3527,P09211
3534,P0DP23
3536,P11171
3540,P12004
3543,P14618
3553,P15941
3557,P18031
3563,P19174
3574,P20936
3596,P40818
3604,P42566
3610,P48050
3615,P51692
3624,P52735
3634,P61925
3644,P67775
3653,Q05397
3658,Q13315
3661,Q13480
3710,Q38SD2
3720,Q8IVM0
3727,Q8NFJ5
3736,Q8TDY4
3746,Q92952
3749,Q96TA1
3752,Q9P0J1
3755,Q9P219
3758,Q9UBN7
3761,Q9UK17
3764,Q9UKV8
3795,O43157
3834,Q96N67
3844,P04629
3872,P04004
3877,P06127
3884,P06730
3887,P07900
3894,P08138
3900,P17302
3903,P21730
3906,P25098
3910,P28329
3926,P30086
3929,P34741
3937,P41180
3940,P41594
3943,P43629
3953,P50281
3956,P61764
3965,Q03721
3974,Q13224
3981,Q14155
3986,Q16625
3989,Q5JVS0
3994,Q7Z2E3
3997,Q92686
4000,Q99418
4003,Q9H3Z4
4011,Q9UQ80
4016,O15519
4029,P05107
4034,P05771
4047,P07355
4060,P14598
4066,P14679
4071,P15336
4084,P17677
4087,P20700
4095,P26010
4114,P28799
4119,P29353
4126,P29966
4136,P30273
4149,P35548
4159,P35637
4167,P48736
4177,P55042
4186,P56537
4210,Q06124
4217,Q12906
4220,Q13131
4246,Q96D31
4257,Q9P2D0
4265,Q9UBU3
4276,P06213
4312,P07550
4324,P15090
4343,P27986
4362,P35232
4374,P53004
4384,P60484
4397,Q13017
4427,Q92569
4440,Q9Y4H2
4468,P06239
4475,P07766
4480,P10747
4483,P12235
4486,P14784
4506,P15498
4516,P16284
4522,P16885
4537,P20138
4544,P20963
4554,P23743
4557,P24666
4580,P40259
4591,P42768
4594,P43403
4621,P52630
4631,P52757
4644,Q04759
