name,kinase
TGFBR2,TGFBR2
TLK1,TLK1
TLK2,TLK2
TNIK,TNIK
TNK1,TNK1
TNK2,TNK2
TNNI3K,TNNI3K_TYR
TSSK1,TSSK1
TSSK2,TSSK2
TTBK1,TTBK1
TTBK2,TTBK2
TTK,TTK
TXK,TXK
TYK2,TYK2
TYRO3,TYRO3
ULK1,ULK1
ULK2,ULK2
VRK1,VRK1
VRK2,VRK2
WEE1,WEE1_TYR
WNK1,WNK1
WNK3,WNK3
WNK4,WNK4
YANK2,YANK2
YANK3,YANK3
YES1,YES1
YSK1,YSK1
YSK4,YSK4
ZAK,ZAK
ZAP70,ZAP70
