kinase,corr_with_raw,count_combined,corr_with_norm,specificity,change_corr,S_ratio,T_ratio,ID_coral,uniprot,ID_HGNC,group,family,subfamily_coral,subfamily,change_corr_norm-raw
TNIK,0.009371862,754,0.298744516,0.146872543,0.289372654,0.056340655,0.101866185,TNIK,Q9UKE5,TNIK,STE,STE20,MSN,MSN,0.289372654
MAPKAPK3,0.539702087,728,0.611531525,0.295893035,0.071829437,0.0707663,0.048097558,MAPKAPK3,Q16644,MAPKAPK3,CAMK,MAPKAPK,MK2,MK2,0.071829437
TAO2,-0.059165426,724,0.091592039,0.137029581,0.150757465,0.047383493,0.082577142,TAO2,Q9UL54,TAOK2,STE,STE20,TAO,TAO,0.150757465
AURB,0.70545136,717,0.729044017,0.520911222,0.023592657,0.060448862,0.043624222,AurB,Q96GD4,AURKB,Other,Aur,,Aur,0.023592657
NIM1,0.258965974,711,0.328757523,0.188510347,0.069791549,0.075884938,0.04249807,NIM1,Q8IY84,NIM1K,CAMK,CAMKL,NIM1,NIM1,0.069791549
MLK3,0.052533502,694,0.184872717,0.190143166,0.132339215,0.071147287,0.052683739,MLK3,Q16584,MAP3K11,TKL,MLK,MLK,MLK,0.132339215
PAK3,0.380919126,691,0.437105907,0.297827037,0.056186781,0.070067939,0.048430678,PAK3,O75914,PAK3,STE,STE20,PAKA,PAKA,0.056186781
AURA,0.58925252,681,0.625034575,0.612259054,0.035782055,0.045328222,0.033996199,AurA,O14965,AURKA,Other,Aur,,Aur,0.035782055
PIM1,0.570514309,680,0.624789696,0.377258272,0.054275387,0.063546098,0.040511321,PIM1,P11309,PIM1,CAMK,PIM,,PIM,0.054275387
AURC,0.562692063,676,0.613681781,0.504939672,0.050989718,0.076789802,0.04037695,AurC,Q9UQB9,AURKC,Other,Aur,,Aur,0.050989718
MSK1,0.650771731,655,0.682175231,0.41375125,0.0314035,0.058185796,0.040071172,MSK1,O75582,RPS6KA5,AGC,RSK,MSK,MSK,0.0314035
MARK4,0.409491218,651,0.514261191,0.199251667,0.104769973,0.060479875,0.036420264,MARK4,Q96L34,MARK4,CAMK,CAMKL,MARK,MARK,0.104769973
CAMK2G,0.253249052,651,0.273338524,0.184512427,0.020089473,0.048605949,0.039017282,CaMK2g,Q13555,CAMK2G,CAMK,CAMK2,,CAMK2,0.020089473
PLK3,0.347534433,639,0.349792943,0.224157583,0.002258509,0.050593678,0.038750641,PLK3,Q9H4B4,PLK3,Other,PLK,,PLK,0.002258509
ZAK,-0.060355857,630,0.149812837,0.10795947,0.210168693,0.060854117,0.074695811,ZAK,Q9NYL2,MAP3K20,TKL,MLK,ZAK,ZAK,0.210168693
NEK9,-0.052220734,628,0.087529139,0.121565176,0.139749873,0.064564734,0.051304796,NEK9,Q8TD19,NEK9,Other,NEK,,NEK,0.139749873
P70S6K,0.545272231,614,0.587233965,0.452121832,0.041961733,0.054237368,0.046326033,p70S6K,P23443,RPS6KB1,AGC,RSK,RSKp70,RSKp70,0.041961733
PAK1,0.547780851,609,0.579281889,0.330225694,0.031501038,0.063008204,0.044074799,PAK1,Q13153,PAK1,STE,STE20,PAKA,PAKA,0.031501038
MARK2,0.526765576,605,0.571609219,0.289653602,0.044843643,0.057514091,0.037357284,MARK2,Q7KZI7,MARK2,CAMK,CAMKL,MARK,MARK,0.044843643
SGK3,0.494556423,605,0.585530438,0.329029876,0.090974015,0.064088216,0.062940639,SGK3,Q96BR1,SGK3,AGC,SGK,,SGK,0.090974015
GCK,0.006188589,593,0.222913018,0.134941753,0.21672443,0.05007418,0.095131347,GCK,Q12851,MAP4K2,STE,STE20,KHS,KHS,0.21672443
MLK2,-0.304200471,591,-0.050200768,0.097112772,0.253999703,0.081193422,0.078776514,MLK2,Q02779,MAP3K10,TKL,MLK,MLK,MLK,0.253999703
PAK2,0.555724599,591,0.560679012,0.34438396,0.004954413,0.053836658,0.040610022,PAK2,Q13177,PAK2,STE,STE20,PAKA,PAKA,0.004954413
MEKK1,0.059367015,590,0.233933032,0.113205388,0.174566017,0.049681989,0.069308554,MAP3K1,Q13233,MAP3K1,STE,STE11,,STE11,0.174566017
TBK1,0.249173052,579,0.395151225,0.146977432,0.145978173,0.072930608,0.041229085,TBK1,Q9UHD2,TBK1,Other,IKK,,IKK,0.145978173
CAMK2D,0.262844403,575,0.394351372,0.181847228,0.13150697,0.070274658,0.049480401,CaMK2d,Q13557,CAMK2D,CAMK,CAMK2,,CAMK2,0.13150697
P90RSK,0.671097909,575,0.678159143,0.415966721,0.007061234,0.057445732,0.039341679,RSK1,Q15418,RPS6KA1,AGC,RSK,RSKp90,RSKp90,0.007061234
PHKG2,0.181796163,571,0.238038376,0.241990107,0.056242213,0.067742145,0.040076522,PHKg2,P15735,PHKG2,CAMK,PHK,,PHK,0.056242213
DYRK3,0.628214051,570,0.684352297,0.391956841,0.056138247,0.061452499,0.052351098,DYRK3,O43781,DYRK3,CMGC,DYRK,DYRK2,DYRK2,0.056138247
IKKA,0.214504874,565,0.248483019,0.203581012,0.033978146,0.069919445,0.035411368,IKKa,O15111,CHUK,Other,IKK,,IKK,0.033978146
P38B,0.601058566,561,0.7154602,0.517135767,0.114401634,0.072138621,0.077769182,p38b,Q15759,MAPK11,CMGC,MAPK,p38,p38,0.114401634
TSSK1,0.502227721,560,0.540223351,0.181284641,0.03799563,0.058880804,0.044225139,TSSK1,Q9BXA7,TSSK1B,CAMK,TSSK,,TSSK,0.03799563
ERK5,0.44174373,558,0.634794031,0.233366811,0.193050301,0.069138099,0.043779948,Erk5,Q13164,MAPK7,CMGC,MAPK,ERK5,ERK5,0.193050301
PIM3,0.356806256,557,0.501961327,0.270457618,0.145155071,0.075820344,0.04715428,PIM3,Q86V86,PIM3,CAMK,PIM,,PIM,0.145155071
TLK1,0.202246084,554,0.409911285,0.141019154,0.207665201,0.068894136,0.074466138,TLK1,Q9UKI8,TLK1,Other,TLK,,TLK,0.207665201
TAK1,-0.124945383,549,0.08864115,0.128337975,0.213586533,0.045419444,0.08728199,TAK1,O43318,MAP3K7,TKL,MLK,TAK1,TAK1,0.213586533
JNK2,0.75389675,548,0.842270268,0.599044614,0.088373518,0.070766722,0.066039655,JNK2,P45984,MAPK9,CMGC,MAPK,JNK,JNK,0.088373518
NLK,0.366146289,540,0.490315065,0.252778481,0.124168776,0.062063724,0.0487576,NLK,Q9UBE8,NLK,CMGC,MAPK,nmo,nmo,0.124168776
MAPKAPK5,0.270960198,533,0.319281091,0.401569472,0.048320893,0.04667228,0.036107085,MAPKAPK5,Q8IW41,MAPKAPK5,CAMK,MAPKAPK,MK5,MK5,0.048320893
SIK,0.553438882,533,0.565686345,0.332511017,0.012247463,0.049363644,0.029871369,SIK,P57059,SIK1,CAMK,CAMKL,QIK,QIK,0.012247463
DCAMKL2,0.447728159,522,0.436749975,0.270467763,-0.010978185,0.046832475,0.047278507,DCAMKL2,Q8N568,DCLK2,CAMK,DCAMKL,,DCAMKL,-0.010978185
AMPKA1,0.598345594,499,0.623867065,0.191257504,0.025521471,0.059606341,0.0493472,AMPKa1,Q13131,PRKAA1,CAMK,CAMKL,AMPK,AMPK,0.025521471
MAPKAPK2,0.544529708,496,0.530056166,0.38607417,-0.014473541,0.071495827,0.044110891,MAPKAPK2,P49137,MAPKAPK2,CAMK,MAPKAPK,MK2,MK2,-0.014473541
CK2A2,0.720006639,492,0.738522942,0.372442334,0.018516303,0.049041162,0.035392203,CK2a2,P19784,CSNK2A2,CMGC,CK2,,CK2,0.018516303
CDK9,0.645276822,484,0.753295338,0.561412056,0.108018516,0.086601068,0.06056928,CDK9,P50750,CDK9,CMGC,CDK,CDK9,CDK9,0.108018516
PKCB,0.474644571,471,0.516862911,0.217487789,0.042218339,0.067337273,0.045636681,PKCb,P05771,PRKCB,AGC,PKC,PKCa,PKCa,0.042218339
JNK3,0.698317275,464,0.786279048,0.561918437,0.087961773,0.056812972,0.055269816,JNK3,P53779,MAPK10,CMGC,MAPK,JNK,JNK,0.087961773
ALK4,0.417717369,463,0.511367856,0.274548723,0.093650486,0.055537192,0.061263307,ALK4,P36896,ACVR1B,TKL,STKR,STKR1,STKR1,0.093650486
IRAK1,-0.013754215,458,0.068513874,0.135217176,0.082268089,0.063014515,0.055660558,IRAK1,P51617,IRAK1,TKL,IRAK,,IRAK,0.082268089
RSK4,0.592034617,456,0.597204291,0.459574829,0.005169675,0.050892951,0.033486688,RSK4,Q9UK32,RPS6KA6,AGC,RSK,RSKp90,RSKp90,0.005169675
IRAK4,-0.017052708,451,0.084201243,0.11919724,0.10125395,0.063649182,0.066697285,IRAK4,Q9NWZ3,IRAK4,TKL,IRAK,,IRAK,0.10125395
DSTYK,0.324288626,449,0.479698048,0.121188577,0.155409423,0.05480515,0.03895301,SgK496,Q6XUX3,DSTYK,Other,Dusty,,Dusty,0.155409423
PKACB,0.699240291,444,0.703892992,0.441169646,0.0046527,0.06028817,0.035693,PKACb,P22694,PRKACB,AGC,PKA,,PKA,0.0046527
CAMK2B,0.383281263,444,0.471429072,0.207415408,0.088147809,0.062191483,0.041973635,CaMK2b,Q13554,CAMK2B,CAMK,CAMK2,,CAMK2,0.088147809
PRKD3,0.402575721,442,0.464602759,0.405279654,0.062027038,0.064139841,0.04450504,PKD3,O94806,PRKD3,CAMK,PKD,,PKD,0.062027038
PKCT,0.379095748,439,0.418267306,0.22612978,0.039171557,0.063015594,0.04708366,PKCt,Q04759,PRKCQ,AGC,PKC,PKCd,PKCd,0.039171557
MARK1,0.517219228,438,0.525303935,0.252226263,0.008084707,0.054415307,0.038659627,MARK1,Q9P0L2,MARK1,CAMK,CAMKL,MARK,MARK,0.008084707
MNK2,0.13998414,430,0.244285439,0.276943417,0.104301299,0.083333125,0.051473194,MNK2,Q9HBH9,MKNK2,CAMK,MAPKAPK,MNK,MNK,0.104301299
SGK1,0.753550194,424,0.743266304,0.625093328,-0.01028389,0.043770929,0.044493286,SGK1,O00141,SGK1,AGC,SGK,,SGK,-0.01028389
DYRK4,0.758783854,424,0.776099599,0.589741393,0.017315745,0.062102447,0.052111291,DYRK4,Q9NR20,DYRK4,CMGC,DYRK,DYRK2,DYRK2,0.017315745
TAO1,0.082495989,423,0.234673409,0.158390552,0.15217742,0.056182241,0.10180974,TAO1,Q7L7X3,TAOK1,STE,STE20,TAO,TAO,0.15217742
MARK3,0.48657346,423,0.531119753,0.306105821,0.044546292,0.058019017,0.035797375,MARK3,P27448,MARK3,CAMK,CAMKL,MARK,MARK,0.044546292
TLK2,0.257303331,422,0.437203629,0.125757964,0.179900298,0.066075855,0.073996495,TLK2,Q86UE8,TLK2,Other,TLK,,TLK,0.179900298
TSSK2,0.468682324,418,0.506243954,0.14689113,0.03756163,0.049721195,0.043138432,TSSK2,Q96PF2,TSSK2,CAMK,TSSK,,TSSK,0.03756163
CK1E,0.154674513,414,0.183333788,0.610223098,0.028659275,0.059402491,0.037055029,CK1e,P49674,CSNK1E,CK1,CK1,,CK1,0.028659275
PKG2,0.676244055,411,0.685788425,0.380748146,0.00954437,0.072518161,0.043042843,PKG2,Q13237,PRKG2,AGC,PKG,,PKG,0.00954437
PRKD1,0.340889234,408,0.579829345,0.237359361,0.238940111,0.100218312,0.042513892,PKD1,Q15139,PRKD1,CAMK,PKD,,PKD,0.238940111
RSK2,0.629152066,391,0.669759136,0.408426165,0.04060707,0.062391708,0.042311171,RSK2,P51812,RPS6KA3,AGC,RSK,RSKp90,RSKp90,0.04060707
AKT2,0.718996978,389,0.705633007,0.520961685,-0.013363971,0.051947039,0.045644542,AKT2,P31751,AKT2,AGC,Akt,,Akt,-0.013363971
DAPK1,0.423161807,376,0.465055645,0.361600701,0.041893837,0.045760962,0.057660611,DAPK1,P53355,DAPK1,CAMK,DAPK,,DAPK,0.041893837
GRK2,0.105909132,374,0.110964244,0.377707309,0.005055112,0.034834247,0.034566003,BARK1,P25098,GRK2,AGC,GRK,BARK,BARK,0.005055112
ROCK1,0.587946856,371,0.62278241,0.348517663,0.034835554,0.046384108,0.075935624,ROCK1,Q13464,ROCK1,AGC,DMPK,ROCK,ROCK,0.034835554
BMPR1B,0.457984461,367,0.556022643,0.265126459,0.098038182,0.057448106,0.051065359,BMPR1B,O00238,BMPR1B,TKL,STKR,STKR1,STKR1,0.098038182
NEK11,-0.154027022,362,-0.06169855,0.139191255,0.092328472,0.051951014,0.075941614,NEK11,Q8NG66,NEK11,Other,NEK,,NEK,0.092328472
LATS2,0.341393449,361,0.402489138,0.291832542,0.06109569,0.065548862,0.033382235,LATS2,Q9NRM7,LATS2,AGC,NDR,,NDR,0.06109569
DYRK1A,0.702279563,353,0.762814348,0.414626405,0.060534785,0.055414829,0.051103764,DYRK1A,Q13627,DYRK1A,CMGC,DYRK,DYRK1,DYRK1,0.060534785
CK1G2,0.074981324,347,0.075449741,0.69206054,0.000468417,0.034896107,0.028723331,CK1g2,P78368,CSNK1G2,CK1,CK1,,CK1,0.000468417
CDK6,0.59563867,342,0.667245454,0.574539695,0.071606784,0.062510934,0.060186289,CDK6,Q00534,CDK6,CMGC,CDK,CDK4,CDK4,0.071606784
CK1A,0.228787335,341,0.236013792,0.791040367,0.007226457,0.055542702,0.034575277,CK1a,P48729,CSNK1A1,CK1,CK1,,CK1,0.007226457
PKCZ,0.294176511,338,0.35857816,0.192588122,0.064401648,0.061143747,0.04662608,PKCz,Q05513,PRKCZ,AGC,PKC,PKCi,PKCi,0.064401648
GRK5,0.094575298,337,0.238746381,0.106951705,0.144171083,0.062579279,0.045766709,GPRK5,P34947,GRK5,AGC,GRK,GRK,GRK,0.144171083
WNK3,-0.087688054,332,0.004530024,0.0848034,0.092218078,0.067542747,0.044394327,Wnk3,Q9BYP7,WNK3,Other,WNK,,WNK,0.092218078
ROCK2,0.424585905,331,0.508775623,0.296323459,0.084189718,0.053387655,0.084277308,ROCK2,O75116,ROCK2,AGC,DMPK,ROCK,ROCK,0.084189718
ALK2,0.620341049,329,0.685122759,0.286516157,0.06478171,0.044019001,0.048778654,ALK2,Q04771,ACVR1,TKL,STKR,STKR1,STKR1,0.06478171
CAMKK1,0.005768805,327,0.176847772,0.12035326,0.171078967,0.051274102,0.077797384,CaMKK1,Q8N5S9,CAMKK1,Other,CAMKK,CAMKK-Meta,CAMKK-Meta,0.171078967
ATM,0.620407411,316,0.733905406,0.410034837,0.113497995,0.048120803,0.032846813,ATM,Q13315,ATM,Atypical,PIKK,ATM,ATM,0.113497995
PKG1,0.693998175,315,0.696119367,0.429714808,0.002121192,0.074116536,0.040486045,PKG1,Q13976,PRKG1,AGC,PKG,,PKG,0.002121192
TGFBR1,0.551878693,306,0.601632017,0.314745896,0.049753324,0.048098503,0.052014681,TGFbR1,P36897,TGFBR1,TKL,STKR,STKR1,STKR1,0.049753324
AMPKA2,0.517682536,305,0.547159279,0.241253835,0.029476743,0.069642154,0.048787053,AMPKa2,P54646,PRKAA2,CAMK,CAMKL,AMPK,AMPK,0.029476743
PKN1,0.456916827,300,0.45939699,0.418829552,0.002480163,0.055325473,0.039291445,PKN1,Q16512,PKN1,AGC,PKN,,PKN,0.002480163
PKCG,0.317083302,299,0.353279752,0.199863769,0.036196451,0.064523306,0.043372563,PKCg,P05129,PRKCG,AGC,PKC,PKCa,PKCa,0.036196451
MSK2,0.471979502,293,0.491395234,0.436876473,0.019415732,0.058186432,0.034473474,MSK2,O75676,RPS6KA4,AGC,RSK,MSK,MSK,0.019415732
NUAK2,0.413019221,285,0.459865575,0.253623722,0.046846354,0.048983773,0.045719969,NuaK2,Q9H093,NUAK2,CAMK,CAMKL,NuaK,NuaK,0.046846354
GRK7,0.390878445,285,0.397121859,0.241586839,0.006243414,0.048028162,0.043836852,GPRK7,Q8WTQ7,GRK7,AGC,GRK,GRK,GRK,0.006243414
LKB1,-0.09879833,283,0.071669785,0.163913998,0.170468115,0.051750212,0.093671894,LKB1,Q15831,STK11,CAMK,CAMKL,LKB,LKB,0.170468115
WNK1,0.132634607,281,0.296683722,0.130955654,0.164049115,0.070432061,0.052611727,Wnk1,Q9H4A3,WNK1,Other,WNK,,WNK,0.164049115
AKT3,0.737449479,279,0.698232319,0.606298771,-0.039217161,0.060666294,0.047443929,AKT3,Q9Y243,AKT3,AGC,Akt,,Akt,-0.039217161
PKCD,0.595988901,275,0.62730652,0.183585639,0.031317619,0.057961303,0.043122148,PKCd,Q05655,PRKCD,AGC,PKC,PKCd,PKCd,0.031317619
ICK,0.409839397,270,0.484724648,0.285968343,0.074885251,0.0554211,0.046643217,ICK,Q9UPZ9,CILK1,CMGC,RCK,,RCK,0.074885251
PBK,0.380359796,269,0.480345912,0.353984652,0.099986116,0.043327273,0.087032824,PBK,Q96KB5,PBK,Other,TOPK,,TOPK,0.099986116
SKMLCK,0.285595303,268,0.407886937,0.187941666,0.122291634,0.074517076,0.064308468,skMLCK,Q9H1R3,MYLK2,CAMK,MLCK,,MLCK,0.122291634
LATS1,0.294373968,266,0.389675951,0.178996903,0.095301983,0.053986293,0.062265591,LATS1,O95835,LATS1,AGC,NDR,,NDR,0.095301983
CAMK4,0.430870915,260,0.42524345,0.221244171,-0.005627466,0.057259943,0.038893851,CaMK4,Q16566,CAMK4,CAMK,CAMK1,,CAMK1,-0.005627466
CK1G1,0.132628115,259,0.161236546,0.562899298,0.028608432,0.062979809,0.03468704,CK1g1,Q9HCP0,CSNK1G1,CK1,CK1,,CK1,0.028608432
PRKD2,0.490427715,256,0.564514708,0.345576253,0.074086993,0.077767754,0.04303493,PKD2,Q9BZL6,PRKD2,CAMK,PKD,,PKD,0.074086993
PLK4,0.16938835,252,0.253727505,0.143598218,0.084339154,0.068794717,0.050406981,PLK4,O00444,PLK4,Other,PLK,,PLK,0.084339154
PKCH,0.341144875,248,0.372468386,0.197261401,0.031323511,0.059739932,0.042259123,PKCh,P24723,PRKCH,AGC,PKC,PKCh,PKCh,0.031323511
CDK3,0.774235809,243,0.80085431,0.619119439,0.026618501,0.073190564,0.049755346,CDK3,Q00526,CDK3,CMGC,CDK,CDK2,CDK2,0.026618501
CHK2,0.562577885,240,0.571973305,0.54828872,0.00939542,0.053822653,0.060916884,CHK2,O96017,CHEK2,CAMK,RAD53,,RAD53,0.00939542
CDK7,0.414042627,237,0.45247882,0.558462336,0.038436192,0.082836878,0.048073557,CDK7,P50613,CDK7,CMGC,CDK,CDK7,CDK7,0.038436192
PKCE,0.553683426,235,0.566303081,0.285140085,0.012619656,0.047616455,0.041713562,PKCe,Q02156,PRKCE,AGC,PKC,PKCh,PKCh,0.012619656
CK1G3,0.076086434,234,0.078007005,0.819808481,0.001920571,0.039352081,0.029854874,CK1g3,Q9Y6M4,CSNK1G3,CK1,CK1,,CK1,0.001920571
SLK,0.0846934,225,0.098465305,0.240369799,0.013771905,0.040954499,0.054507364,SLK,Q9H2G2,SLK,STE,STE20,SLK,SLK,0.013771905
PKCI,0.287397679,225,0.305055995,0.244864872,0.017658316,0.053716598,0.044523207,PKCi,P41743,PRKCI,AGC,PKC,PKCi,PKCi,0.017658316
PRKX,0.744005659,224,0.712065021,0.451031356,-0.031940638,0.05417935,0.026140431,PRKX,P51817,PRKX,AGC,PKA,,PKA,-0.031940638
DCAMKL1,0.435160509,221,0.44626331,0.293888318,0.011102802,0.055521835,0.057661864,DCAMKL1,O15075,DCLK1,CAMK,DCAMKL,,DCAMKL,0.011102802
EEF2K,0.09703055,220,0.359383875,0.200332234,0.262353325,0.054453045,0.098105087,eEF2K,O00418,EEF2K,Atypical,Alpha,eEF2K,eEF2K,0.262353325
CAMKK2,0.005040531,219,0.156623917,0.119141298,0.151583386,0.045223565,0.079088456,CaMKK2,Q96RR4,CAMKK2,Other,CAMKK,CAMKK-Meta,CAMKK-Meta,0.151583386
MELK,0.27612261,219,0.299953108,0.258811273,0.023830498,0.071821794,0.051063946,MELK,Q14680,MELK,CAMK,CAMKL,MELK,MELK,0.023830498
MEK2,-0.269634057,216,-0.178101152,0.132281477,0.091532905,0.03838304,0.068135673,MAP2K2,P36507,MAP2K2,STE,STE7,,STE7,0.091532905
HIPK2,0.771827766,213,0.801581959,0.570172833,0.029754194,0.067168579,0.050058137,HIPK2,Q9H2X6,HIPK2,CMGC,DYRK,HIPK,HIPK,0.029754194
CDK4,0.743935598,211,0.802203876,0.60150997,0.058268278,0.05387078,0.062513139,CDK4,P11802,CDK4,CMGC,CDK,CDK4,CDK4,0.058268278
MTOR,0.148654379,210,0.320530445,0.129416337,0.171876065,0.071852008,0.042623351,FRAP,P42345,MTOR,Atypical,PIKK,FRAP,FRAP,0.171876065
PAK6,0.477038327,196,0.551751831,0.429540749,0.074713503,0.057853338,0.03786643,PAK6,Q9NQU5,PAK6,STE,STE20,PAKB,PAKB,0.074713503
GSK3A,0.274777762,196,0.281673042,0.727560721,0.00689528,0.052664241,0.049027322,GSK3A,P49840,GSK3A,CMGC,GSK,,GSK,0.00689528
MOK,0.56348713,193,0.652685571,0.38818244,0.089198441,0.073648781,0.083455537,MOK,Q9UQ07,MOK,CMGC,RCK,,RCK,0.089198441
NDR1,0.371691165,192,0.426700418,0.230350238,0.055009254,0.068740295,0.043624456,NDR1,Q15208,STK38,AGC,NDR,,NDR,0.055009254
NUAK1,0.210008806,189,0.30056552,0.299398139,0.090556713,0.059975763,0.036883345,NuaK1,O60285,NUAK1,CAMK,CAMKL,NuaK,NuaK,0.090556713
